source,company,client_name,org,entity_name,ville,location,town,pays,nation,country_code,headcount,staff,revenue,currency
CRM,,Initech Solutions 167 GmbH,,,,Milan,,,IT,,3001,,,
API,,,Initech Solutions 167,,,Milan,,,IT,,,,,
ERP,Cyberdyne Systems 168,,,,Paris,,,France,,,183,,18300000,USD
CRM,,Cyberdyne Systems 168,,,,Paris,,,FR,,186,,,
ERP,Soylent Foods 169 Inc,,,,London,,,United Kingdom,,,2936,,28000000,GBP
CRM,,Soylent Foods 169 SA,,,,London,,,UK,,2938,,,
LEGACY,,,,SOYLENT FOODS 169,,,London,,,UK,,2936,,
ERP,Soylent Foods 170 Inc,,,,London,,,United Kingdom,,,3799,,1900000,EUR
CRM,,Soylent Foods 170,,,,London,,,UK,,3798,,,
ERP,Tyrell Group 171 Ltd,,,,Paris,,,France,,,349,,38600000,USD
CRM,,Tyrell Group 171 Inc,,,,Paris,,,FR,,348,,,
API,,,Tyrell Group 171,,,Paris,,,FR,,,,,
ERP,Gringotts Bank 172 Ltd,,,,Berlin,,,Germany,,,2827,,49900000,USD
ERP,Cyberdyne Systems 173,,,,Milan,,,Italy,,,2234,,41100000,GBP
CRM,,Cyberdyne Systems 173 Ltd,,,,Milan,,,IT,,2235,,,
API,,,Cyberdyne Systems 173,,,Milan,,,,,,,,
ERP,Wayne Enterprises 174 SA,,,,Paris,,,France,,,3702,,30900000,EUR
ERP,Cyberdyne Systems 175 Inc,,,,Berlin,,,Germany,,,396,,37300000,GBP
ERP,Stark Manufacturing 176 SA,,,,Amsterdam,,,Netherlands,,,519,,3900000,USD
CRM,,Stark Manufacturing 176 Ltd,,,,Amsterdam,,,NL,,516,,,
API,,,Stark Manufacturing 176,,,Amsterdam,,,NL,,,,,
ERP,Globex Industries 177 Inc,,,,Madrid,,,Spain,,,600,,12100000,USD
CRM,,Globex Industries 177 GmbH,,,,Madrid,,,ES,,598,,,
ERP,Cyberdyne Systems 178 Ltd,,,,Berlin,,,Germany,,,679,,29400000,GBP
CRM,,Cyberdyne Systems 178 Inc,,,,Berlin,,,DE,,677,,,
LEGACY,,,,CYBERDYNE SYSTEMS 178,,,Berlin,,,DE,,679,,
ERP,Hooli Technologies 179 GmbH,,,,Berlin,,,Germany,,,4291,,19900000,EUR
CRM,,Hooli Technologies 179 SA,,,,Berlin,,,DE,,4289,,,
ERP,Tyrell Group 180,,,,Madrid,,,Spain,,,1054,,7000000,USD
CRM,,Tyrell Group 180,,,,Madrid,,,ES,,1057,,,
ERP,Wonka Industries 181,,,,Amsterdam,,,Netherlands,,,2896,,36400000,GBP
CRM,,Wonka Industries 181 Ltd,,,,Amsterdam,,,NL,,2898,,,
ERP,Hooli Technologies 182,,,,Paris,,,France,,,4217,,11500000,EUR
ERP,Massive Dynamic 183 GmbH,,,,Berlin,,,Germany,,,265,,18500000,GBP
CRM,,Massive Dynamic 183 GmbH,,,,Berlin,,,DE,,263,,,
LEGACY,,,,MASSIVE DYNAMIC 183,,,Berlin,,,DE,,265,,
ERP,Wayne Enterprises 184 SA,,,,Berlin,,,Germany,,,3971,,27000000,USD
ERP,Initech Solutions 185,,,,Madrid,,,Spain,,,2647,,32900000,USD
CRM,,Initech Solutions 185 Ltd,,,,Madrid,,,ES,,2650,,,
ERP,Hooli Technologies 186,,,,Madrid,,,Spain,,,3594,,25800000,EUR
CRM,,Hooli Technologies 186 Ltd,,,,Madrid,,,ES,,3593,,,
LEGACY,,,,HOOLI TECHNOLOGIES 186,,,Madrid,,,ES,,3594,,
ERP,Wayne Enterprises 187 GmbH,,,,London,,,United Kingdom,,,2102,,10100000,USD
CRM,,Wayne Enterprises 187 GmbH,,,,London,,,UK,,2099,,,
LEGACY,,,,WAYNE ENTERPRISES 187,,,London,,,UK,,2102,,
ERP,Soylent Foods 188 GmbH,,,,Madrid,,,Spain,,,2815,,43200000,EUR
ERP,Acme Corporation 189 GmbH,,,,London,,,United Kingdom,,,422,,48600000,USD
ERP,Aviato Holdings 190 GmbH,,,,Milan,,,Italy,,,298,,25500000,USD
ERP,Wayne Enterprises 191 SA,,,,Berlin,,,Germany,,,2056,,41300000,USD
CRM,,Wayne Enterprises 191 Ltd,,,,Berlin,,,DE,,2056,,,
ERP,Wonka Industries 192 Inc,,,,Milan,,,Italy,,,1226,,16100000,GBP
ERP,Cyberdyne Systems 193 Inc,,,,Berlin,,,Germany,,,1121,,39000000,GBP
CRM,,Cyberdyne Systems 193 SA,,,,Berlin,,,DE,,1118,,,
API,,,Cyberdyne Systems 193,,,Berlin,,,,,,,,
LEGACY,,,,CYBERDYNE SYSTEMS 193,,,Berlin,,,DE,,1121,,
ERP,Wayne Enterprises 194 Ltd,,,,Berlin,,,Germany,,,3475,,12800000,USD
ERP,Wonka Industries 195 GmbH,,,,Madrid,,,Spain,,,1355,,25600000,USD
CRM,,Wonka Industries 195,,,,Madrid,,,ES,,1352,,,
ERP,Massive Dynamic 196,,,,Madrid,,,Spain,,,4828,,18100000,EUR
CRM,,Massive Dynamic 196 SA,,,,Madrid,,,ES,,4827,,,
ERP,Aviato Holdings 197 Inc,,,,Madrid,,,Spain,,,2216,,37300000,USD
CRM,,Aviato Holdings 197 GmbH,,,,Madrid,,,ES,,2217,,,
API,,,Aviato Holdings 197,,,Madrid,,,ES,,,,,
LEGACY,,,,AVIATO HOLDINGS 197,,,Madrid,,,ES,,2216,,
ERP,Gringotts Bank 198 GmbH,,,,Milan,,,Italy,,,2341,,42300000,GBP
ERP,Soylent Foods 199 Inc,,,,London,,,United Kingdom,,,3276,,19200000,GBP
